Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G04163	0	0	0	0	0	0
AT1G03103	0	0	0	0	0	0
AT1G03106	0	0	0	0	0	0
AT1G03110	5	3	10	1	6	6
AT1G03120	0	1	0	0	0	0
AT1G03130	685	660	492	894	1027	608
AT1G03140	24	27	31	20	9	11
AT1G03150	4	5	3	7	4	6
AT1G04167	0	0	0	0	0	0
AT1G03160	31	28	30	12	17	12
AT1G03165	0	0	0	0	0	0
AT1G04173	0	0	0	0	0	0
AT1G03170	0	0	0	0	0	0
AT1G03180	1	1	3	1	2	4
AT1G03190	7	3	4	3	1	0
AT1G04177	0	0	0	0	0	0
AT1G03200	0	0	0	0	0	0
AT1G03210	11	9	9	8	4	9
AT1G03220	51	95	70	23	32	39
AT1G03230	37	33	39	28	31	58
AT1G03240	0	0	0	0	0	0
AT1G03250	15	6	11	7	8	12
AT1G03260	3	4	7	2	1	5
AT1G03270	2	0	2	5	2	2
AT1G03280	20	15	11	7	2	12
AT1G03290	19	10	17	14	12	29
AT1G03300	0	0	0	0	0	0
AT1G03310	22	20	23	12	13	12
AT1G03320	0	0	0	0	0	0
AT1G03325	0	0	0	0	0	0
AT1G03330	8	8	7	8	6	12
AT1G03340	0	1	0	1	1	0
AT1G03350	25	19	31	30	23	37
AT1G03360	5	5	5	7	1	1
AT1G03365	5	6	6	5	5	6
AT1G03370	38	47	36	18	6	32
AT1G03380	27	29	29	5	7	15
AT1G03390	0	0	0	0	0	0
AT1G03395	0	0	0	0	0	0
AT1G03400	29	34	34	31	31	61
AT1G03410	0	0	0	1	0	0
AT1G04183	0	0	0	0	0	0
AT1G03430	7	6	7	10	6	7
AT1G03440	4	4	6	3	3	6
AT1G03445	1	1	0	0	0	0
AT1G03457	7	3	4	1	0	1
AT1G03470	3	1	2	0	0	0
AT1G03475	161	110	116	74	90	80
AT1G03490	0	0	0	0	0	0
AT1G03495	6	3	3	1	5	5
AT1G04187	0	0	0	0	0	0
AT1G04193	0	0	0	0	0	0
AT1G03502	0	0	0	0	0	0
AT1G03506	0	1	0	0	0	0
AT1G04197	0	0	0	0	0	0
AT1G03510	0	2	0	0	0	0
AT1G03515	0	0	0	0	0	0
