"gene"	"xref"	"sub06"	"sub07"	"sub08"	"sub21"	"sub23"	"sub24"
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02960"	839363	9	7	5	5	1	2
"AT1G02965"	839537	0	0	0	0	0	0
"AT1G02970"	839453	3	1	3	1	1	1
"AT1G02980"	839415	0	0	0	0	0	0
"AT1G02980"	839415	0	0	0	0	0	0
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G02990"	839380	12	13	15	5	3	5
"AT1G03000"	839315	18	16	23	2	4	4
"AT1G03010"	839556	0	1	4	0	0	1
"AT1G03010"	839556	0	1	4	0	0	1
"AT1G03010"	839556	0	1	4	0	0	1
"AT1G03020"	839505	0	0	2	0	4	2
"AT1G03030"	839473	5	3	2	4	3	3
"AT1G03030"	839473	5	3	2	4	3	3
"AT1G03040"	839446	15	12	26	20	19	35
"AT1G03040"	839446	15	12	26	20	19	35
"AT1G03040"	839446	15	12	26	20	19	35
"AT1G03050"	839416	0	0	0	0	0	0
"AT1G03055"	838334	2	0	4	0	4	2
"AT1G03055"	838334	2	0	4	0	4	2
"AT1G03060"	839323	34	31	30	19	9	17
"AT1G03060"	839323	34	31	30	19	9	17
"AT1G03060"	839323	34	31	30	19	9	17
"AT1G03060"	839323	34	31	30	19	9	17
"AT1G03070"	839581	0	0	0	0	1	0
"AT1G03070"	839581	0	0	0	0	1	0
"AT1G03070"	839581	0	0	0	0	1	0
"AT1G03080"	838350	25	30	48	15	15	14
"AT1G03080"	838350	25	30	48	15	15	14
"AT1G03080"	838350	25	30	48	15	15	14
"AT1G03090"	838362	42	30	37	6	2	4
"AT1G03090"	838362	42	30	37	6	2	4
"AT1G04157"	NA	0	0	0	0	0	0
"AT1G03100"	839573	0	0	2	1	0	2
"AT1G04163"	NA	0	0	0	0	0	0
"AT1G03103"	2745739	0	0	0	0	0	0
"AT1G03106"	2745740	0	0	0	0	0	0
"AT1G03110"	839572	5	3	10	1	6	6
"AT1G03120"	839571	0	1	0	0	0	0
"AT1G03120"	839571	0	1	0	0	0	0
"AT1G03130"	838400	685	660	492	894	1027	608
"AT1G03140"	839567	24	27	31	20	9	11
"AT1G03150"	839562	4	5	3	7	4	6
"AT1G04167"	NA	0	0	0	0	0	0
"AT1G03160"	839566	31	28	30	12	17	12
"AT1G03160"	839566	31	28	30	12	17	12
"AT1G03160"	839566	31	28	30	12	17	12
"AT1G03160"	839566	31	28	30	12	17	12
"AT1G03165"	28716025	0	0	0	0	0	0
"AT1G04173"	NA	0	0	0	0	0	0
"AT1G03170"	839563	0	0	0	0	0	0
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03180"	839560	1	1	3	1	2	4
"AT1G03190"	839557	7	3	4	3	1	0
"AT1G03190"	839557	7	3	4	3	1	0
"AT1G04177"	NA	0	0	0	0	0	0
"AT1G03200"	839553	0	0	0	0	0	0
"AT1G03210"	838493	11	9	9	8	4	9
"AT1G03210"	838493	11	9	9	8	4	9
"AT1G03220"	838517	51	95	70	23	32	39
"AT1G03230"	838532	37	33	39	28	31	58
